status	population	access	pages	first_page_chars	file
OK	pediatric	fulltext	12	4357	papers/pediatric/fulltext/2026_Liu_Children_Coronary_Anomalies_82.pdf
OK	pediatric	fulltext	10	3520	papers/pediatric/fulltext/2026_Przybycien_Exercise_Habits_BMI_573_Pediatric_AAOCA.pdf
OK	pediatric	fulltext	10	3843	papers/pediatric/fulltext/2026_Yu_Pediatric_AAORCA_Risk_Stratification.pdf
OK	pediatric	fulltext	22	2105	papers/pediatric/fulltext/2026_Wang_Pediatric_AAOCA_Multimodal_Imaging_reference.pdf
OK	pediatric	fulltext	7	3360	papers/pediatric/fulltext/2026_Cao_Pediatric_AAOCA_Surgical_Outcomes.pdf
OK	pediatric	fulltext	10	4339	papers/pediatric/fulltext/2026_Yun_Pediatric_AAOCA_Surgical_Results_Korea.pdf
OK	pediatric	fulltext	9	5228	papers/pediatric/fulltext/2025_Carter_Exercise_Stress_CMR_AAOCA.pdf
OK	pediatric	fulltext	10	3879	papers/pediatric/fulltext/2025_Li_Pediatric_AAOCA_Right_Axillary_Thoracotomy.pdf
OK	pediatric	fulltext	8	3844	papers/pediatric/fulltext/2025_Luo_Pediatric_AAOCA_Surgery_China.pdf
OK	pediatric	fulltext	14	2949	papers/pediatric/fulltext/2024_Puelz_Pediatric_AAOCA_FFR_Preprint.pdf
OK	pediatric	fulltext	9	4308	papers/pediatric/fulltext/2023_Na_9_Pediatric_ARCA_Cases.pdf
OK	pediatric	fulltext	9	3479	papers/pediatric/fulltext/2023_Zhen_69_Children_AAOCA.pdf
OK	pediatric	fulltext	7	3724	papers/pediatric/fulltext/2022_Gao_Children_Syncope_Case_Series.pdf
OK	pediatric	fulltext	10	4383	papers/pediatric/fulltext/2022_Ponzoni_Pediatric_AAOCA_Meta_Analysis.pdf
OK	pediatric	fulltext	4	3471	papers/pediatric/fulltext/2020_Hosoda_Two_Pediatric_AAOCA_Cases.pdf
OK	pediatric	fulltext	8	4035	papers/pediatric/fulltext/2020_Binka_AAORCA_Exercise_Myocardial_Deformation.pdf
OK	pediatric	fulltext	36	4529	papers/pediatric/fulltext/2020_Frommelt_ASE_Multimodality_Congenital_Coronary_Anomalies_Guideline.pdf
OK	pediatric	fulltext	7	2573	papers/pediatric/fulltext/2020_An_Li_Chinese_Expert_Consensus_Congenital_Coronary_Anomalies.pdf
OK	pediatric	fulltext	16	5894	papers/pediatric/fulltext/2019_Jegatheeswaran_CHSS_Ischemia_Features.pdf
OK	pediatric	fulltext	4	3912	papers/pediatric/fulltext/2019_Agati_Intraseptal_Anomalous_Coronary_Perfusion_Study.pdf
OK	pediatric	fulltext	18	4606	papers/pediatric/fulltext/2017_Brothers_AATS_AAOCA_Expert_Consensus.pdf
OK	pediatric	fulltext	108	4712	papers/pediatric/fulltext/2015_AHA_ACC_Competitive_Athlete_Eligibility_Combined_Statement.pdf
OK	pediatric	fulltext	10	4196	papers/pediatric/fulltext/2012_Penalver_AAOCA_Risk_Critical_Appraisal.pdf
OK	pediatric	fulltext	6	4439	papers/pediatric/fulltext/2011_Turner_AAOCA_Preoperative_Diagnosis_and_Surgical_Planning.pdf
OK	pediatric	non_fulltext	1	3241	papers/pediatric/non_fulltext/2026_NON_FULLTEXT_Japan_Pediatric_Nationwide_Survey.pdf
OK	pediatric	fulltext	16	4143	papers/pediatric/fulltext/2026_AHA_Pediatric_Coronary_Ischemic_Testing_Statement.pdf
OK	pediatric	non_fulltext	1	3421	papers/pediatric/non_fulltext/2026_NON_FULLTEXT_AAOCA_Standardized_Nomenclature.pdf
OK	pediatric	non_fulltext	1	5964	papers/pediatric/non_fulltext/2025_NON_FULLTEXT_Kim_AHA_ACC_Competitive_Athlete_Scientific_Statement.pdf
OK	pediatric	non_fulltext	1	740	papers/pediatric/non_fulltext/2025_NON_FULLTEXT_Pediatric_Dobutamine_Stress_CMR.pdf
OK	pediatric	non_fulltext	1	3181	papers/pediatric/non_fulltext/2025_NON_FULLTEXT_230_Patient_Surgical_Outcomes.pdf
OK	pediatric	non_fulltext	1	3420	papers/pediatric/non_fulltext/2025_NON_FULLTEXT_Petek_Athlete_SCA_Coronary_Anomalies.pdf
OK	pediatric	fulltext	7	5197	papers/pediatric/fulltext/2025_China_Single_Center_Management.pdf
OK	pediatric	non_fulltext	1	3768	papers/pediatric/non_fulltext/2025_NON_FULLTEXT_Mery_Optimal_Surgical_Technique_AAOCA.pdf
OK	pediatric	fulltext	12	3415	papers/pediatric/fulltext/2024_Doan_Pediatric_AAOCA_Review.pdf
OK	pediatric	non_fulltext	1	3443	papers/pediatric/non_fulltext/2023_NON_FULLTEXT_Doan_Postoperative_High_Risk_Anatomic_Features.pdf
OK	pediatric	fulltext	24	4487	papers/pediatric/fulltext/2023_Patient_Specific_CFD_Systematic_Review.pdf
OK	pediatric	non_fulltext	1	4166	papers/pediatric/non_fulltext/2023_NON_FULLTEXT_Pediatric_AAOLCA_Clinical_Outcomes.pdf
OK	pediatric	non_fulltext	1	3648	papers/pediatric/non_fulltext/2023_NON_FULLTEXT_Qasim_Exercise_Stress_Testing_AAOCA.pdf
OK	pediatric	non_fulltext	1	3505	papers/pediatric/non_fulltext/2023_NON_FULLTEXT_Pediatric_AAORCA_Ischemia_Outcomes.pdf
OK	pediatric	fulltext	14	5063	papers/pediatric/fulltext/2023_Surgical_Management_Trends.pdf
OK	pediatric	non_fulltext	1	3145	papers/pediatric/non_fulltext/2022_NON_FULLTEXT_AAORCA_Surgical_vs_Nonsurgical.pdf
OK	pediatric	non_fulltext	1	3768	papers/pediatric/non_fulltext/2021_NON_FULLTEXT_Doan_Dobutamine_Stress_CMR_Pediatric.pdf
OK	pediatric	non_fulltext	1	3359	papers/pediatric/non_fulltext/2021_NON_FULLTEXT_Bonilla_Ramirez_Reimplantation_vs_Unroofing.pdf
OK	pediatric	non_fulltext	1	3385	papers/pediatric/non_fulltext/2020_NON_FULLTEXT_CHSS_Repair_Outcomes.pdf
OK	pediatric	non_fulltext	1	3996	papers/pediatric/non_fulltext/2019_NON_FULLTEXT_Yerebakan_Complete_Unroofing_Commissural_Resuspension.pdf
OK	pediatric	non_fulltext	1	3613	papers/pediatric/non_fulltext/2018_NON_FULLTEXT_Prospective_Surgical_Outcomes.pdf
OK	pediatric	fulltext	22	3603	papers/pediatric/fulltext/2018_Postoperative_Risk_Author_Manuscript.pdf
OK	pediatric	non_fulltext	1	2461	papers/pediatric/non_fulltext/2017_NON_FULLTEXT_AAOCA_Clinical_Evaluation.pdf
OK	pediatric	fulltext	15	2258	papers/pediatric/fulltext/2017_Lopez_PHN_Normal_Echo_Z_Score_Database_Author_Manuscript.pdf
OK	pediatric	non_fulltext	1	3409	papers/pediatric/non_fulltext/2016_NON_FULLTEXT_Athlete_Management_Decision_Analysis.pdf
OK	pediatric	non_fulltext	1	3385	papers/pediatric/non_fulltext/2014_NON_FULLTEXT_CHSS_Registry_Report.pdf
OK	pediatric	non_fulltext	1	2628	papers/pediatric/non_fulltext/2014_NON_FULLTEXT_AAOCA_Surgical_Repair_76_Patients.pdf
OK	pediatric	non_fulltext	1	2989	papers/pediatric/non_fulltext/2010_NON_FULLTEXT_CHSS_Registry.pdf
OK	pediatric	non_fulltext	1	3384	papers/pediatric/non_fulltext/2003_NON_FULLTEXT_Romp_Unroofing_Outcome_Neo_Ostium.pdf
OK	adult	fulltext	41	1038	papers/adult/fulltext/2026_Mokhtari_CCTA_Geometry_FFR_Manuscript.pdf
OK	adult	fulltext	12	3685	papers/adult/fulltext/2026_Stark_IVUS_Adenosine_vs_Dobutamine_FFR.pdf
OK	adult	fulltext	47	2138	papers/adult/fulltext/2026_Verheijen_Adult_Intramural_Histology_reference.pdf
OK	adult	fulltext	11	4166	papers/adult/fulltext/2025_Shiri_AI_AAOCA_CCTA.pdf
OK	adult	fulltext	9	4618	papers/adult/fulltext/2025_Varela_Barca_AAOCA_Spanish_Surgical_Outcomes.pdf
OK	adult	fulltext	10	5503	papers/adult/fulltext/2024_Grani_EURO_AAOCA_Registry.pdf
OK	adult	fulltext	9	4149	papers/adult/fulltext/2024_Li_Adolescent_Adult_Surgical_Outcomes.pdf
OK	adult	fulltext	8	4303	papers/adult/fulltext/2023_James_CABG_AAOCA_ITA.pdf
OK	adult	fulltext	20	3888	papers/adult/fulltext/2022_Bigler_Therapeutic_Management_ACAOS.pdf
OK	adult	fulltext	5	3895	papers/adult/fulltext/2021_Nellis_AAOCA_Anterior_Minithoracotomy_Repair.pdf
OK	adult	fulltext	80	5145	papers/adult/fulltext/2021_Pelliccia_ESC_Sports_Cardiology_Guideline.pdf
OK	adult	fulltext	11	3794	papers/adult/fulltext/2020_Tang_CT_FFR_94_Adult_Patients.pdf
OK	adult	fulltext	112	3411	papers/adult/fulltext/2019_Stout_AHA_ACC_Adult_CHD_Guideline.pdf
OK	adult	fulltext	4	3821	papers/adult/fulltext/2019_McCray_Novel_Assessment_Ischemia_AAORCA.pdf
OK	adult	fulltext	4	4229	papers/adult/fulltext/2018_Su_Opposite_Sinus_AAOCA_Clinical_Strategies.pdf
OK	adult	fulltext	8	4075	papers/adult/fulltext/2014_Ripley_CMR_172_Adult_Patients.pdf
OK	adult	fulltext	12	3737	papers/adult/fulltext/2026_Adult_MuSCAT_Invasive_Testing.pdf
OK	adult	non_fulltext	1	3553	papers/adult/non_fulltext/2026_NON_FULLTEXT_Adult_AAORCA_Reimplantation.pdf
OK	adult	non_fulltext	1	777	papers/adult/non_fulltext/2026_NON_FULLTEXT_CCTA_Exercise_SPECT_AAOCA.pdf
OK	adult	non_fulltext	1	4010	papers/adult/non_fulltext/2026_NON_FULLTEXT_Adult_CCTA_Prevalence_Conference_Abstract.pdf
